Enter name of dump file: f got: fs, but expected |?
autopodium got: autopodiums, but expected |autopodia
colliculus got: colliculuses, but expected |colliculi
deutocerebrum got: deutocerebrums, but expected |deutocerebra
mutawa got: mutawas, but expected |mutaween
glomerulonephritis got: glomerulonephritises, but expected |glomerulonephritides|glomerulonephrites
gino got: ginoes, but expected 
kinorhynch got: kinorhynches, but expected 
mesonephros got: mesonephroses, but expected |mesonephroi
monophylum got: monophylums, but expected |monophyla
neostriatum got: neostriatums, but expected |neostriata
neuraxis got: neuraxises, but expected |neuraxes
card punch got: card punchs, but expected |es
possibilium got: possibiliums, but expected |possibilia
restorationism got: restorationisms, but expected |?
sonero got: soneroes, but expected 
neurocranium got: neurocraniums, but expected |neurocrania
shatter box got: shatter boxs, but expected |es
otoconium got: otoconiums, but expected |otoconia
burdet got: burdets, but expected |?
paraphylum got: paraphylums, but expected |paraphyla
isocortex got: isocortexes, but expected |isocortices
UMA got: UMAs, but expected |?
cataglottis got: cataglottises, but expected |cataglottis
splenium got: spleniums, but expected |splenia
rejoneador got: rejoneadores, but expected 
logomach got: logomaches, but expected 
pediculus got: pediculuses, but expected |pediculi
hexecontahedron got: hexecontahedrons, but expected |hexecontahedra
zonohedron got: zonohedrons, but expected |zonohedra
fugato got: fugatoes, but expected 
salsero got: salseroes, but expected 
androides got: androideses, but expected |?
briar-patch got: briar-patchs, but expected |head=[[briar]]-[[patch]]|briar-patches
printworks got: printworkses, but expected |printworks
portabello got: portabelloes, but expected 
mofongo got: mofongoes, but expected 
play-off got: plays-off, but expected 
enviro got: enviroes, but expected 
GTS got: GTSs, but expected |?
inflatus got: inflatuses, but expected |?
phrenitis got: phrenitises, but expected |phrenitides
mailo got: mailoes, but expected 
antiarch got: antiarches, but expected 
basipterygium got: basipterygiums, but expected |basipterygia
mark to market got: marks to market, but expected 
deltaproteobacterium got: deltaproteobacteriums, but expected |deltaproteobacteria
protobacterium got: protobacteriums, but expected |proteobacteria
koulouri got: koulouris, but expected |koulouria
interscutularis got: interscutularises, but expected |?
make-out got: makes-out, but expected 
ngoni got: ngonis, but expected |?
makimono got: makimonoes, but expected |s|makimono
mako got: makoes, but expected 
chitlin got: chitlins, but expected |?
makunouchi got: makunouchis, but expected |makunouchi
zeved habat got: zeved habats, but expected |?
mashgiach got: mashgiaches, but expected |s|mashgichim
hacendado got: hacendadoes, but expected 
metapterygium got: metapterygiums, but expected |metapterygia
tibiale got: tibiales, but expected |tibialia
photostimulus got: photostimuluses, but expected |photostimuli
finfoot got: finfeet, but expected 
pretectum got: pretectums, but expected |pretecta
cancellus got: cancelluses, but expected |cancelli
aristo got: aristoes, but expected 
greebo got: greeboes, but expected 
pronephros got: pronephroses, but expected |pronephroi
proventriculus got: proventriculuses, but expected |proventriculi
diplomatics got: diplomaticses, but expected |diplomatics
swung dash got: swung dashs, but expected |es
impatiens got: impatienses, but expected |impatiens
huanghuali got: huanghualis, but expected |?
type-in got: types-in, but expected |head=[[type]]-[[in]]
eigenspectrum got: eigenspectrums, but expected |eigenspectra
piquillo got: piquilloes, but expected 
lactococcus got: lactococcuses, but expected |lactococci
metapodium got: metapodiums, but expected |metapodia
picocyanobacterium got: picocyanobacteriums, but expected |picocyanobacteria
saltarello got: saltarelloes, but expected 
Fonzie touch got: Fonzie touchs, but expected |?
ordalium got: ordaliums, but expected |ordalia
alveus got: alveuses, but expected |alvei
nanotorus got: nanotoruses, but expected |nanotori
DCHP got: DCHPs, but expected |?
zooxanthella got: zooxanthellas, but expected |zooxanthellae
nest box got: nest boxs, but expected |es
unambiguity got: unambiguities, but expected |?
frappucino got: frappucinoes, but expected 
95000
stylion got: stylions, but expected |stylia
subscapularis got: subscapularises, but expected |?
hit-by-pitch got: hits-by-pitch, but expected |es
mammitis got: mammitises, but expected |mammitides
mampus got: mampuses, but expected |?
synchro got: synchroes, but expected 
lead off got: leads off, but expected 
proembryo got: proembryoes, but expected 
chon got: chons, but expected |chon
gaelscoil got: gaelscoils, but expected |gaelscoileanna
planemo got: planemoes, but expected 
stomium got: stomiums, but expected |stomia
stomodeum got: stomodeums, but expected |stomodea
face off got: faces off, but expected 
puntarella got: puntarellas, but expected |puntarelle
patrolperson got: patrolpeople, but expected 
rhæa got: rhæas, but expected |?
subepithelium got: subepitheliums, but expected |subepithelia
subpallium got: subpalliums, but expected |subpallia
subthalamus got: subthalamuses, but expected |subthalami
dialog box got: dialog boxs, but expected |es
dialogue box got: dialogue boxs, but expected |es
automatisation got: automatisations, but expected |?
mandocello got: mandocelloes, but expected 
mandyas got: mandyases, but expected |?
nothing to see got: nothings to see, but expected |?
polygon mesh got: polygon meshs, but expected |es
molinillo got: molinilloes, but expected 
supercolossus got: supercolossuses, but expected |supercolossi
A-H conduction time got: A-H conduction times, but expected |?
wake-over got: wakes-over, but expected |head=[[wake]]-[[over]]
spirotrich got: spirotriches, but expected 
hypotrich got: hypotriches, but expected 
mangeao got: mangeaos, but expected |?
glassworks got: glassworkses, but expected |glassworks
HEAT got: HEATs, but expected |?
acetylamino got: acetylaminoes, but expected 
goji got: gojis, but expected |goji
prefixum got: prefixums, but expected |prefixa
præfix got: præfixs, but expected |es
man-midwife got: men-midwives, but expected |head=[[man]]-[[midwife]]|man-midwives
banderillero got: banderilleroes, but expected 
descabello got: descabelloes, but expected 
yopo got: yopoes, but expected |?
statto got: stattoes, but expected 
clairalience got: clairaliences, but expected |?
claircognizance got: claircognizances, but expected |?
orthotetrahedron got: orthotetrahedrons, but expected |orthotetrahedra
kiwano got: kiwanoes, but expected 
luchi got: luchis, but expected |?
suco got: sucoes, but expected 
ungula got: ungulas, but expected |ungulae
overspray surface texture got: overspray surface textures, but expected |?
p�?hiri got: p�?hiris, but expected |?
emorata got: emoratas, but expected |?
plakous got: plakouses, but expected |?
fedayee got: fedayees, but expected |fedayeen
colocolo got: colocoloes, but expected 
cacoethes got: cacoetheses, but expected |cacoethe
cybercasino got: cybercasinoes, but expected 
love in a mist got: love in a mists, but expected |?
tonos got: tonoses, but expected |tonoi
ablepharia got: ablepharias, but expected |?
AUD got: AUDs, but expected |?
manzello got: manzelloes, but expected 
saxello got: saxelloes, but expected 
maomao got: maomaos, but expected |maomao
bunjy got: bunjies, but expected |?
tetrastich got: tetrastiches, but expected 
stem-and-leaf got: stem-and-leafs, but expected |head=[[stem]]-[[and]]-[[leaf]]|stems-and-leaves
slanging match got: slanging matchs, but expected |es
pachyosteosclerosis got: pachyosteoscleroses, but expected |?
pachyostosis got: pachyostoses, but expected |?
proteostasis got: proteostases, but expected |?
notum got: notums, but expected |nota
megacasino got: megacasinoes, but expected 
polyangiitis got: polyangiitises, but expected |?
unity of time got: unities of time, but expected |?
ablepharon got: ablepharons, but expected |?
jack-up got: jacks-up, but expected 
seyon got: seyons, but expected |?
sion got: sions, but expected |?
syon got: syons, but expected |?
scyence got: scyences, but expected |?
cyence got: cyences, but expected |?
sciance got: sciances, but expected |?
sience got: siences, but expected |?
scyon got: scyons, but expected |?
scien got: sciens, but expected |?
scyen got: scyens, but expected |?
generalized continuum hypothesis got: generalized continuum hypothesises, but expected |?
methanolysis got: methanolyses, but expected |?
mariengrosche got: mariengrosches, but expected |mariengroschen
jack-of-the-dust got: jack-of-the-dusts, but expected |?
glans clitoridis got: glans clitoridises, but expected |?
carpale got: carpales, but expected |carpalia
micella got: micellas, but expected |micellae
gweipo got: gweipoes, but expected 
polymenorrhea got: polymenorrheas, but expected |?
marmarosis got: marmaroses, but expected |?
marmorosis got: marmoroses, but expected |?
quipo got: quipoes, but expected 
half-hitch got: half-hitchs, but expected |es
ezh got: ezhs, but expected |es
Marrano got: Marranoes, but expected 
yeoperson got: yeopeople, but expected 
Martello got: Martelloes, but expected 
ordonnance got: ordonnances, but expected |?
desmitis got: desmitises, but expected |?
Martiniquais got: Martiniquaises, but expected |?
demonolatry got: demonolatries, but expected |?
cathedra got: cathedra, but expected |cathedrae|s
politeia got: politeias, but expected |?
shell-like got: shells-like, but expected |head=[[shell]]-[[like]]
orthopnea got: orthopneas, but expected |?
analingus got: analinguses, but expected |?
Lib. got: Lib.s, but expected |?
ascoma got: ascomas, but expected |ascomata
jazzbo got: jazzboes, but expected 
bossyboots got: bossybootses, but expected |?
furze pig got: furze pigs, but expected |?
SOTA got: SOTAs, but expected |?
tromboncino got: tromboncinoes, but expected |s|tromboncini
song and dance got: song and dances, but expected |?
MEQ got: MEQs, but expected |?
word of God got: words of God, but expected |?
emphyteusis got: emphyteuses, but expected |?
leptomeninges got: leptomeninges, but expected |?
imari got: imaris, but expected |?
kakiemon got: kakiemons, but expected |?
inr�? got: inr�?s, but expected |inro
z�?ri got: z�?ris, but expected |?
bent�? got: bent�?s, but expected |?
nuqta got: nuqtas, but expected |nuqta
restauration got: restaurations, but expected |?
massula got: massulas, but expected |massulae
chorioamnionitis got: chorioamnionitises, but expected |?
matafunda got: matafundas, but expected |?
preggo got: preggoes, but expected 
Mickey Bliss got: Mickey Blisses, but expected |?
mixte got: mixtes, but expected |?
worryguts got: worrygutses, but expected |worryguts
nudzh got: nudzhs, but expected |es
ginglymus got: ginglymuses, but expected |ginglymi
chappo got: chappoes, but expected 
chervonets got: chervonetses, but expected |chervontsy
tchervonets got: tchervonetses, but expected |tchervontsy
duxelles got: duxelleses, but expected |?
cleverclogs got: cleverclogses, but expected |cleverclogs
hyperacusis got: hyperacuses, but expected |?
bilirubinemia got: bilirubinemias, but expected |?
hyperestesia got: hyperestesias, but expected |?
extrinsicality got: extrinsicalities, but expected |?
exosome complex got: exosome complexs, but expected |es
hyperphosphaturia got: hyperphosphaturias, but expected |?
kalemia got: kalemias, but expected |?
natremia got: natremias, but expected |?
homocysteinemia got: homocysteinemias, but expected |?
hyperpathia got: hyperpathias, but expected |?
bronchomalacia got: bronchomalacias, but expected |?
setwall got: setwalls, but expected |?
teev got: teevs, but expected |?
genioglossus got: genioglossuses, but expected |genioglossi
bunky got: bunkies, but expected |?
wolven got: wolvens, but expected |wolven
pachymeninx got: pachymeninxes, but expected |?
pachymeninges got: pachymeninges, but expected |?
jejeunum got: jejeunums, but expected |jejeuna
leucomalacia got: leucomalacias, but expected |?
leukomalacia got: leukomalacias, but expected |?
myometrium got: myometriums, but expected |myometria
vocalis got: vocalises, but expected |?
parametrium got: parametriums, but expected |parametria
blowby got: blowbies, but expected 
bluecurls got: bluecurlses, but expected |bluecurls
hakama got: hakamas, but expected |hakama
seroprotection got: seroprotections, but expected |?
ventriculomegaly got: ventriculomegalies, but expected |?
kummelweck got: kummelwecks, but expected |?
charro got: charroes, but expected 
carom billiards got: carom billiardses, but expected |?
Arabic alphabet got: Arabic alphabets, but expected |?
shegetz got: shegetzzes, but expected |shkotzim|shegetzes
ʻokina got: ʻokinas, but expected |?
yecch got: yecches, but expected 
mauvaise langue got: mauvaise langues, but expected |?
song thrush got: song thrushs, but expected |es
trip switch got: trip switchs, but expected |es
magnino got: magninoes, but expected 
baristo got: baristoes, but expected |baristi|baristos
quinsyberry got: quinsyberries, but expected |?
proslambanomenos got: proslambanomenoses, but expected |proslambanomenoi
noodlefish got: noodlefish, but expected |es
gemach got: gemaches, but expected |gemachim
countermemo got: countermemoes, but expected 
legendarium got: legendariums, but expected |legendaria
quartino got: quartinoes, but expected 
law of excluded middle got: law of excluded middles, but expected |?
law of the excluded middle got: law of the excluded middles, but expected |?
co-wife got: co-wifes, but expected |co-wives
thrombogenesis got: thrombogeneses, but expected |?
cigar box got: cigar boxs, but expected |es
co-father-in-law got: co-father-in-laws, but expected |co-fathers-in-law
co-mother-in-law got: co-mother-in-laws, but expected |co-mothers-in-law
co-brother-in-law got: co-brother-in-laws, but expected |co-brothers-in-law
co-sister-in-law got: co-sister-in-laws, but expected |co-sisters-in-law
co-in-law got: coes-in-law, but expected 
irori got: iroris, but expected |irori
bunk-up got: bunks-up, but expected |head=[[bunk]]-[[up]]
promnesia got: promnesias, but expected |?
co-sibling-in-law got: co-sibling-in-laws, but expected |co-siblings-in-law
tormentrix got: tormentrixes, but expected |?
piwakawaka got: piwakawakas, but expected |?
miromiro got: miromiroes, but expected |?
kohekohe got: kohekohes, but expected |?
non-binary got: non-binarys, but expected |non-binaries
carrot-and-stick got: carrot-and-sticks, but expected |carrots-and-sticks
skull-and-crossbones got: skull-and-crossboneses, but expected |head=[[skull]]-[[and]]-[[crossbones]]|?
git-go got: git-gos, but expected |?
clas got: clases, but expected |?
100000
hyporchema got: hyporchemas, but expected |hyporchemata
caveola got: caveolas, but expected |caveolae
co-grandfather-in-law got: co-grandfather-in-laws, but expected |co-grandfathers-in-law
metriopatheia got: metriopatheias, but expected |metriopatheiai
falaj got: falajs, but expected |es
titipounamu got: titipounamus, but expected |?
koromiko got: koromikoes, but expected 
pea patch got: pea patchs, but expected |es
telestich got: telestiches, but expected 
laryngopharynx got: laryngopharynxes, but expected |laryngopharynges
pæninsula got: pæninsulas, but expected |?
trolley-dolly got: trolley-dollys, but expected |trolley-dollies
wharenui got: wharenuis, but expected |?
ceroma got: ceromas, but expected |ceromata
hemistich got: hemistiches, but expected |s
medimnus got: medimnuses, but expected |medimnes
factualness got: factualnesses, but expected |?
physiurgy got: physiurgies, but expected |?
germinal matrix got: germinal matrixs, but expected |?
inheritability got: inheritabilities, but expected |?
menuetto got: menuettoes, but expected 
mouse-over got: mice-over, but expected |head=[[mouse]]-[[over]]
isibongo got: isibongoes, but expected |s|izibongo
vernine got: vernines, but expected |?
bug out got: bugs out, but expected 
capo tasto got: capo tastos, but expected |?
ogin got: ogins, but expected |?
Bd. got: Bd.s, but expected |?
b. got: b.s, but expected |?
translatrix got: translatrixes, but expected |translatrices
sicula got: siculas, but expected |siculae
sport fish got: sport fishs, but expected |es
game fish got: game fishs, but expected |es
rough fish got: rough fishs, but expected |es
bony fish got: bony fishs, but expected |es
modeling clay got: modeling clays, but expected |?
modelling clay got: modelling clays, but expected |?
melene got: melenes, but expected |?
cisterna chyli got: cisterna chylis, but expected |?
bulbospongiosus got: bulbospongiosuses, but expected |bulbospongiosi
fisho got: fishoes, but expected 
necktie-party got: necktie-partys, but expected |head=[[necktie]][[-]][[party]]|necktie-parties
quar got: quars, but expected |?
keriorrhea got: keriorrheas, but expected |?
Habbo got: Habboes, but expected 
autognosis got: autognoses, but expected |?
coronis got: coronises, but expected |coronides
medifurca got: medifurcas, but expected |medifurcae
mesofurca got: mesofurcas, but expected |mesofurcae
mesosternum got: mesosternums, but expected |mesosterna
compluvium got: compluviums, but expected |compluvia
hydropneumothorax got: hydropneumothoraxes, but expected |?
wormfish got: wormfish, but expected |es
hydrothorax got: hydrothoraxes, but expected |hydrothoraces
defeature got: defeatures, but expected |?
Esquimo got: Esquimoes, but expected 
Turkoman got: Turkomen, but expected 
centimo got: centimoes, but expected 
auto-de-fe got: auto-de-fes, but expected |autos-de-fe
S. got: S.s, but expected |?
gömböc got: gömböcs, but expected |?
buy-down got: buys-down, but expected |head=[[buy]]-[[down]]
graecismus got: graecismuses, but expected |?
Shiba Inu got: Shiba Inus, but expected |?
legend in one's own lunchtime got: legend in one's own lunchtimes, but expected |?
sabalo got: sabaloes, but expected 
heteroclisis got: heteroclises, but expected |?
ribaldo got: ribaldoes, but expected 
palas got: palases, but expected |?
mulato got: mulatoes, but expected 
RUS got: RUSs, but expected |?
apophysitis got: apophysitises, but expected |?
sabino got: sabinoes, but expected 
Arsis got: Arses, but expected |arses
God complex got: God complexs, but expected |es
pelidnoma got: pelidnomas, but expected |?
protostoma got: protostomas, but expected |protostomata
zambra got: zambras, but expected |?
coronach got: coronaches, but expected 
Western blot got: Western blots, but expected |?
timeslice got: timeslice, but expected 
megasporangium got: megasporangiums, but expected |megasporangia
saddle stitch got: saddle stitchs, but expected |es
safety match got: safety matchs, but expected |es
saffi got: saffi, but expected 
cross-patch got: cross-patchs, but expected |es
ostro got: ostroes, but expected 
sahuaro got: sahuaroes, but expected 
tondino got: tondinoes, but expected |tondini
observationality got: observationalities, but expected |?
rochambeau got: rochambeaus, but expected |?
roshambo got: roshamboes, but expected 
bancal got: bancals, but expected |bancales
ostrobogulation got: ostrobogulations, but expected |?
clothes-brush got: clothes-brushs, but expected |clothes-brushes
bath-brush got: bath-brushs, but expected |head=[[bath]]-[[brush]]|es
bolis got: bolises, but expected |bolides
chipekwe got: chipekwes, but expected |chipekwe
batutut got: batututs, but expected |?
sigbin got: sigbins, but expected |?
sigben got: sigbens, but expected |?
waitoreke got: waitorekes, but expected |waitoreke
lusca got: luscas, but expected |?
outflux got: outflux, but expected |es
karamu got: karamus, but expected |?
diadumenos got: diadumenoses, but expected |diadumenoi
anaphoresis got: anaphoreses, but expected |?
prefrontal cortex got: prefrontal cortexs, but expected |?
myelencephalon got: myelencephalons, but expected |myelencephala
wataman got: watamen, but expected 
otaman got: otamen, but expected 
vataman got: vatamen, but expected 
cayuco got: cayucoes, but expected 
montuno got: montunoes, but expected 
cheilophagia got: cheilophagias, but expected |?
patrociny got: patrocinies, but expected |?
house-search got: house-searchs, but expected |head=[[house]]-[[search]]|es
dezh got: dezhs, but expected |es
sentry-box got: sentry-boxs, but expected |head=[[sentry]]-[[box]]|es
tbs got: tbses, but expected |?
jingko got: jingkoes, but expected |?
odontogenesis got: odontogeneses, but expected |?
neutron flux got: neutron fluxs, but expected |es
hypervertex got: hypervertexes, but expected |hypervertices
antibrachium got: antibrachiums, but expected |antibrachia
antebrachium got: antebrachiums, but expected |antebrachia
brachium got: brachiums, but expected |brachia
Winnipeg couch got: Winnipeg couchs, but expected |es
tarsale got: tarsales, but expected |tarsalia
sclerotium got: sclerotiums, but expected |sclerotia
adverbiality got: adverbialities, but expected |?
kaikawaka got: kaikawakas, but expected |?
tidytips got: tidytipses, but expected |tidytips
archicembalo got: archicembaloes, but expected 
Areopagus got: Areopaguses, but expected |?
assassinatrix got: assassinatrixes, but expected |assassinatrices
mizz got: mizzzes, but expected |es
look-in got: looks-in, but expected |head=[[look]]-[[in]]
abat-voix got: abat-voixs, but expected |abat-voix
vid. got: vid.s, but expected |?
mongongo got: mongongoes, but expected 
snuff-box got: snuff-boxs, but expected |es
roll-on got: rolls-on, but expected |head=[[roll]]-[[on]]
B3 got: B3s, but expected |?
B5 got: B5s, but expected |?
Burkinese got: Burkineses, but expected |?
B8 got: B8s, but expected |?
B6 got: B6s, but expected |?
B1 got: B1s, but expected |?
B0 got: B0s, but expected |?
descriptivity got: descriptivities, but expected |?
prescriptivity got: prescriptivities, but expected |?
charmante got: charmantes, but expected |?
radiowaves got: radiowaveses, but expected |?
cathartine got: cathartines, but expected |?
packability got: packabilities, but expected |?
butt-woman got: butt-womans, but expected |head=[[butt]]-[[woman]]|butt-women
wipe-out got: wipes-out, but expected |head=[[wipe]]-[[out]]
nominality got: nominalities, but expected |?
ring-in got: rings-in, but expected 
dzomo got: dzomoes, but expected 
actinobacterium got: actinobacteriums, but expected |actinobacteria
invadopodium got: invadopodiums, but expected |invadopodia
peribronchitis got: peribronchitises, but expected |?
wordness got: wordnesses, but expected |?
tapetum got: tapetums, but expected |tapeta
hypochondroplasia got: hypochondroplasias, but expected |?
mesostasis got: mesostases, but expected |?
boom bap got: boom baps, but expected |?
koekoea got: koekoeas, but expected |?
beechdrops got: beechdropses, but expected |beechdrops
shinkansen got: shinkansens, but expected |shinkansen
far left got: far lefts, but expected |?
non-redundancy got: non-redundancys, but expected |?
thumb-sketch got: thumb-sketchs, but expected |es
Otomi got: Otomies, but expected 
stepsis got: stepses, but expected |es
stepbro got: stepbroes, but expected 
kwanga got: kwangas, but expected |?
extrinsicness got: extrinsicnesses, but expected |?
batteau got: batteaus, but expected |batteaux
parametricity got: parametricities, but expected |?
palilogia got: palilogias, but expected |?
thumb sketch got: thumb sketchs, but expected |es
anticommons got: anticommonses, but expected |anticommons
salvar kameez got: salvar kameezs, but expected |es
perilene got: perilenes, but expected |?
archaeopteryx got: archaeopteryxes, but expected |archaeopteryges
archaiopteryx got: archaiopteryxes, but expected |archaiopteryges
gametogonium got: gametogoniums, but expected |gametogonia
parergon got: parerga, but expected 
aspirated h got: aspirated hs, but expected |?
manipulandum got: manipulandums, but expected |manipulanda
euxinia got: euxinias, but expected |?
cabestro got: cabestroes, but expected 
heliobacterium got: heliobacteriums, but expected |heliobacteria
angiolipoleiomyoma got: angiolipoleiomyomas, but expected |?
carpometacarpus got: carpometacarpuses, but expected |carpometacarpi
osmoticum got: osmoticums, but expected |osmotica
rendevous got: rendevouses, but expected |rendevous
tafone got: tafones, but expected |tafoni
bolillo got: bolilloes, but expected 
rheostasis got: rheostases, but expected |?
solonetz got: solonetzzes, but expected |es
macrochaeta got: macrochaetas, but expected |macrochaetae
minilocus got: minilocuses, but expected |miniloci
multimirror got: multimirrors, but expected |?
nexin got: nexins, but expected |?
puparium got: pupariums, but expected |puparia
plasmodesma got: plasmodesmas, but expected |plasmodesmata
overthwart got: overthwarts, but expected |?
usuality got: usualities, but expected |?
IPOF got: IPOFs, but expected |?
perihelium got: periheliums, but expected |perihelia
G³ got: G³s, but expected |?
ampakine got: ampakine, but expected 
proxenus got: proxenuses, but expected |proxeni
proxenos got: proxenoses, but expected |proxenoi
frush got: frushes, but expected |?
tempranillo got: tempranilloes, but expected 
bithorax complex got: bithorax complexs, but expected |es
liriope got: liriopes, but expected |liriope
nonpro got: nonproes, but expected 
arylamino got: arylaminoes, but expected 
monkey patch got: monkey patchs, but expected |es
ovotestis got: ovotestises, but expected |ovotestes
105000
lurgey got: lurgeys, but expected |?
superlubricity got: superlubricities, but expected |?
underplating got: underplatings, but expected |?
moloi got: molois, but expected |baloi
mokoro got: mokoroes, but expected |mekoro
dodecadactylum got: dodecadactylums, but expected |dodecadactyla
Jewfro got: Jewfroes, but expected 
ans. got: ans.s, but expected |?
rip box got: rip boxs, but expected |es
afikomen got: afikomen, but expected 
amero got: ameroes, but expected 
bathing box got: bathing boxs, but expected |es
die-off got: dice-off, but expected 
pleasurability got: pleasurabilities, but expected |?
lezbro got: lezbroes, but expected 
pick six got: pick sixs, but expected |es
lurgi got: lurgis, but expected |lurgies
ASO got: ASOs, but expected |?
paisano got: paisanoes, but expected 
hydroperoxy got: hydroperoxies, but expected 
organoperoxy got: organoperoxies, but expected 
eruca got: erucas, but expected |erucae
reptilium got: reptiliums, but expected |reptilia
balsero got: balseroes, but expected 
tsebe got: tsebes, but expected |?
galactico got: galacticoes, but expected 
age of judgement got: ages of judgement, but expected |?
age of judgment got: ages of judgment, but expected |?
chromo got: chromoes, but expected 
ornis got: ornises, but expected |ornithes
eragrostis got: eragrostises, but expected |?
olingo got: olingoes, but expected 
cauda equina got: cauda equinas, but expected |?
Pac-Man got: Pac-Mans, but expected |?
yana got: yanas, but expected |?
gold general got: golds general, but expected 
silver general got: silvers general, but expected 
slud got: sluds, but expected |?
dictatrix got: dictatrixes, but expected |dictatrices
triacontahedron got: triacontahedrons, but expected |triacontahedra
spermatozoön got: spermatozoöns, but expected |spermatozoa
C.A.A.F. got: C.A.A.F.s, but expected |?
interlunation got: interlunations, but expected |?
phantasma got: phantasmas, but expected |phantasmata
dolium got: doliums, but expected |dolia
Australiana got: Australianas, but expected |?
agenthood got: agenthoods, but expected |?
supermicro got: supermicroes, but expected 
wye switch got: wye switchs, but expected |es
electrino got: electrinoes, but expected 
hyperstimulus got: hyperstimuluses, but expected |hyperstimuli
bouillotte got: bouillottes, but expected |?
callosum got: callosums, but expected |callosa
beau monde got: beau mondes, but expected |?
guet-apens got: guet-apenses, but expected |?
yamen got: yamen, but expected 
poikilocytosis got: poikilocytoses, but expected |?
shabono got: shabonoes, but expected 
shapono got: shaponoes, but expected 
opisthobranch got: opisthobranches, but expected 
inspiratrix got: inspiratrixes, but expected |inspiratrices
afikoman got: afikomen, but expected 
ambassadrix got: ambassadrixes, but expected |ambassadrices
nebari got: nebaris, but expected |nebari
all-in-one got: alls-in-one, but expected |head=[[all]]-[[in]]-[[one]]
roadstone got: roadstones, but expected |?
makowiec got: makowiecs, but expected |?
cywydd got: cywydds, but expected |cywyddau
nomos got: nomoses, but expected |nomoi
cystinosis got: cystinoses, but expected |?
kopis got: kopises, but expected |kopides
gr. got: gr.s, but expected |?
byo got: byoes, but expected 
charge off got: charges off, but expected 
charge-off got: charges-off, but expected 
torgoch got: torgoches, but expected 
mesovortex got: mesovortexes, but expected |mesovortices
stut got: stuts, but expected |stut
euthynteria got: euthynterias, but expected |?
VEI got: VEIs, but expected |?
cavalero got: cavaleroes, but expected 
ovolo got: ovoli, but expected 
repro got: reproes, but expected 
pubco got: pubcoes, but expected 
holyhedron got: holyhedrons, but expected |holyhedra
akepiro got: akepiroes, but expected 
hoe down got: hoes down, but expected 
hoe-down got: hoes-down, but expected 
dermatoscopy got: dermatoscopies, but expected |?
warehou got: warehous, but expected |warehou
anesis got: aneses, but expected |?
roko got: rokoes, but expected 
stilus got: stiluses, but expected |stili
maffioso got: maffiosoes, but expected |?
neuro got: neuroes, but expected |?
alcanna got: alcannas, but expected |?
rostite got: rostites, but expected |?
clear-out got: clears-out, but expected |head=[[clear]]-[[out]]
Italian sandwich got: Italian sandwichs, but expected |es
Japanese spitz got: Japanese spitzs, but expected |es
epicanthus got: epicanthuses, but expected |epicanthi
goggle-box got: goggle-boxs, but expected |es
greedyguts got: greedygutses, but expected |greedyguts
prior probability got: prior probabilitys, but expected |?
posterior probability got: posterior probabilitys, but expected |?
LDML got: LDMLs, but expected |?
obolo got: oboloes, but expected 
RED got: REDs, but expected |?
pressure retarded osmosis got: pressure retarded osmosises, but expected |?
karearea got: kareareas, but expected |?
pseudothecium got: pseudotheciums, but expected |pseudothecia
basidioma got: basidiomas, but expected |basidiomata
zoodendrium got: zoodendriums, but expected |zoodendria
suspensorium got: suspensoriums, but expected |suspensoria
paludamentum got: paludamentums, but expected |paladumenta
panzerotti got: panzerottis, but expected |es
spell off got: spells off, but expected 
aspergillus got: aspergilluses, but expected |aspergilli
spell-off got: spells-off, but expected 
cut-up got: cuts-up, but expected |head=[[cut]]-[[up]]
conjunctive normal form got: conjunctive normal forms, but expected |?
disjunctive normal form got: disjunctive normal forms, but expected |?
perigeum got: perigeums, but expected |?
olivetta got: olivettas, but expected |?
air potato got: air potatos, but expected |es
politure got: politures, but expected |?
linne got: linnes, but expected |?
comb-jelly got: comb-jellys, but expected |comb-jellies
culmen got: culmen, but expected |s|culmina
determinans got: determinanses, but expected |?
cui bono got: cui bonos, but expected |?
GWAS got: GWASs, but expected |es
loosey got: looseys, but expected |loosies
RANSAC got: RANSACs, but expected |?
fumette got: fumettes, but expected |?
plankter got: plankton, but expected |plankters
plonko got: plonkoes, but expected 
plum tomato got: plum tomatos, but expected |es
cherry tomato got: cherry tomatos, but expected |es
ithyphallus got: ithyphalluses, but expected |ithyphalli
floran got: florans, but expected |?
print out got: prints out, but expected 
abbrev. got: abbrev.s, but expected |?
actio popularis got: actio popularises, but expected |?
chromhidrosis got: chromhidroses, but expected |?
pastizzi got: pastizzis, but expected |pastizzi
antivortex got: antivortexes, but expected |antivortices
paragraphos got: paragraphoses, but expected |paragraphoi
superior rectus got: superior rectuses, but expected |?
medial rectus got: medial rectuses, but expected |?
lateral rectus got: lateral rectuses, but expected |?
stapedius got: stapediuses, but expected |stapedii
tensor tympani got: tensor tympanis, but expected |?
levator labii superioris alaeque nasi got: levator labii superioris alaeque nasis, but expected |?
Nirgunty got: Nirgunties, but expected |?
cash-box got: cash-boxs, but expected |cash-boxes
monk's pepper got: monk's peppers, but expected |?
bispectrum got: bispectrums, but expected |bispectra
muscle-up got: muscles-up, but expected |head=[[muscle]]-[[up]]
oliebol got: oliebols, but expected |oliebollen
donkey punch got: donkey punchs, but expected |es
step over got: steps over, but expected 
haras got: harases, but expected |haras
B. got: B.s, but expected |?
g. got: g.s, but expected |?
